regions,neighborhood,2020,2021,,
Breda centrum,Valkenberg,"1,730","1,750",,
Breda centrum,Chass,"2,590","2,630",,
Breda centrum,Fellenoord,"1,360","1,340",,
Breda centrum,Schorsmolen,"2,940","2,950",,
Breda centrum,Station,"2,050","2,070",,
Breda centrum,City,"2,340","2,360",,
Breda noord,Belcrum,3110,"3,070",,
Breda noord,Doornbos-Linie,"3,490","3,620",,
Breda noord,Biesdonk,"3,690","3,660",,
Breda noord,Geeren-zuid,"2,740","2,740",,
Breda noord,Wisselaar,"3,170","3,140",,
Breda noord,Krogten,170,160,,
Breda noord,Geeren-noord,"1,940","1,940",,
Breda noord,Waterdonken,930,930,,
Breda oost,Brabantpark,"8,070","8,200",,
Breda oost,Sportpark,"2,480","2,460",,
Breda oost,Zandberg,4020,"3,970",,
Breda oost,Heusdenhout,"3,630","3,660",,
Breda oost,Moleneind-oost,50,40,,
Breda oost,Hoogeind,40,40,,
Breda zuid-oost,Blauwe Kei,"2,840","2,830",,
Breda zuid-oost,Ypelaar,"4,170","4,170",,
Breda zuid-oost,Overakker,"2,130","2,120",,
Breda zuid-oost,Ginneken,"3,980","3,980",,
Breda zuid-oost,Mastbos,410,470,,
Breda zuid,Boeimeer,"4,200","4,200",,
Breda zuid,Ruitersbos,"1,560","1,560",,
Breda west,Haagpoort,"1,690","1,720",,
Breda west,Heuvel,"5,840","5,820",,
Breda west,Tuinzigt,"6,390","6,440",,
Breda west,Princenhage,"6,320","6,300",,
Breda west,Westerpark,"2,570","2,570",,
Breda west,Heilaar,360,370,,
Breda west,Hazeldonk,40,40,,
Breda west,Steenakker,430,430,,
Breda west,Effen-Rith,630,640,,
Breda west,Liesbos,510,530,,
Breda noord-west,Gageldonk,"3,770","3,690",,
Breda noord-west,Kievitsloop,"3,340","3,280",,
Breda noord-west,Kesteren,3020,"2,990",,
Breda noord-west,Muizenberg,"2,380","2,330",,
Breda noord-west,Heksenwiel,"3,460","3,390",,
Breda noord-west,Overkroeten,"2,480","2,430",,
Breda noord-west,Kroeten,"1,790","1,770",,
Breda noord-west,Emer,60,60,,
Breda noord-west,Hagebeemd,160,160,,
Bavel,Bavel,"3,970","3,960",,
Bavel,Nieuw Wolfslaar,"1,680","1,700",,
Bavel,Buitengebied Bavel,420,460,,
Uvelhout,Ulvenhout,"3,190","3,210",,
Uvelhout,Buitengebied Ulvenhout,210,200,,
Prinsenbeek,Prinsenbeek,"8,040",8011,,
Prinsenbeek,Buitengebied Prinsenbeek,660,670,,
Tetrigen,Teteringen,"5,640","5,680",,
Tetrigen,Vuchtpolder,80,80,,
Tetrigen,Buitengebied Teteringen,120,120,,
