BuurtKey,WijkOmschrijving,BuurtOmschrijving
-1,Onbekend,Onbekend
1,Breda centrum,Valkenberg
2,Breda centrum,Chassé
3,Breda centrum,Fellenoord
4,Breda centrum,Schorsmolen
5,Breda centrum,Station
6,Breda centrum,City
7,Breda noord,Belcrum
8,Breda noord,Doornbos-Linie
9,Breda noord,Biesdonk
10,Breda noord,Geeren-Zuid
11,Breda noord,Wisselaar
12,Breda noord,Krogten
13,Breda noord,Geeren-Noord
14,Breda noord,Waterdonken
15,Breda oost,Brabantpark
16,Breda oost,Sportpark
17,Breda oost,Zandberg
18,Breda oost,Heusdenhout
19,Breda oost,Moleneind-oost
20,Breda oost,Hoogeind
21,Breda zuid-oost,Blauwe Kei
22,Breda zuid-oost,Ypelaar
23,Breda zuid-oost,Overakker
24,Breda zuid-oost,Ginneken
25,Breda zuid-oost,Mastbos
26,Breda zuid,Boeimeer
27,Breda zuid,Ruitersbos
28,Breda west,Haagpoort
29,Breda west,Heuvel
30,Breda west,Tuinzigt
31,Breda west,Princenhage
32,Breda west,Westerpark
33,Breda west,Heilaar
34,Breda west,Hazeldonk
35,Breda west,Steenakker
36,Breda west,Effen-Rith
37,Breda west,Liesbos
38,Breda noord-west,Gageldonk
39,Breda noord-west,Kievitsloop
40,Breda noord-west,Kesteren
41,Breda noord-west,Muizenberg
42,Breda noord-west,Heksenwiel
43,Breda noord-west,Overkroeten
44,Breda noord-west,Kroeten
45,Bavel,Bavel
46,Bavel,Nieuw Wolfslaar
47,Bavel,Buitengebied Bavel
48,Breda noord-west,Emer
49,Breda noord-west,Hagebeemd
50,Ulvenhout,Ulvenhout
51,Ulvenhout,Buitengebied Ulvenhout
52,Prinsenbeek,Prinsenbeek
53,Prinsenbeek,Buitengebied Prinsenbeek
54,Teteringen,Teteringen
55,Teteringen,Vuchtpolder
56,Teteringen,Buitengebied Teteringen
57,Breda noord,Doornbos
58,Breda noord,Linie
59,Breda Totaal,Breda Totaal
60,Buitengebied,Buitengebied Breda
61,Overig,Overig
