regions,neighborhood,2014,2015,2016,2017,2018,2019,2020,2021
Breda centrum,Valkenberg,"1,600","1,800","1,700","1,800","1,700","1,800","1,700","1,800"
Breda centrum,Chass,"2,700","2,700","2,800","2,800","2,800","2,800","2,800","2,900"
Breda centrum,Fellenoord,"1,335","1,300","1,300","1,400","1,300","1,300","1,300","1,300"
Breda centrum,Schorsmolen,"2,765","2,800","2,900","2,900","2,900","2,900","3,000","2,900"
Breda centrum,Station,"1,800","1,800","1,800","1,900","2,000","2,000","2,000","2,000"
Breda centrum,City,"2,100","2,100","2,100","2,300","2,300","2,200","2,300","2,300"
Breda noord,Belcrum,"2,600","2,600","2,700","3,000","3,100","3,100","3,200","3,200"
Breda noord,Doornbos-Linie,"3,400","3,500","3,500","3,500","3,500","3,600","3,600","3,700"
Breda noord,Biesdonk,"3,800","3,900","3,800","3,900","3,900","3,900","3,900","3,900"
Breda noord,Geeren-zuid,"2,715","2,815","2,815","2,915","2,915","2,900","2,900","3,000"
Breda noord,Wisselaar,"3,200","3,200","3,200","3,300","3,300","3,300","3,300","3,300"
Breda noord,Krogten,200,200,200,200,200,200,200,200
Breda noord,Geeren-noord,"2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,100"
Breda noord,Waterdonken,800,800,800,800,800,900,900,900
Breda oost,Brabantpark,"7,900","7,900","8,000","7,900","8,000","8,100","8,200","8,300"
Breda oost,Sportpark,"2,500","2,600","2,700","2,700","2,700","2,800","2,800","2,800"
Breda oost,Zandberg,"3,900","4,100","4,000","4,000","4,000","4,000","4,000","4,000"
Breda oost,Heusdenhout,"4,100","4,200","4,100","4,200","4,200","4,200","4,200","4,200"
Breda oost,Moleneind-oost,100,100,100,100,100,100,100,100
Breda oost,Hoogeind,0,0,0,0,0,0,0,0
Breda zuid-oost,Blauwe Kei,"2,900","3,000","3,000","3,000","3,100","3,000","3,000","3,000"
Breda zuid-oost,Ypelaar,"4,700","4,700","4,700","4,800","4,800","5,000","5,000","5,000"
Breda zuid-oost,Overakker,"2,200","2,300","2,300","2,500","2,500","2,500","2,500","2,600"
Breda zuid-oost,Ginneken,"3,800","4,000","4,100","4,100","4,100","4,100","4,200","4,300"
Breda zuid-oost,Mastbos,300,300,300,300,300,300,400,500
Breda zuid,Boeimeer,"4,400","4,500","4,600","4,500","4,600","4,600","4,600","4,500"
Breda zuid,Ruitersbos,"1,700","1,800","1,900","1,800","1,900","1,900","1,900","1,900"
Breda west,Haagpoort,"1,655","1,700","1,700","1,700","1,700","1,700","1,700","1,700"
Breda west,Heuvel,"6,145","6,500","6,400","6,400","6,400","6,200","6,000","6,000"
Breda west,Tuinzigt,"5,800","5,900","5,900","6,000","6,300","6,300","6,300","6,400"
Breda west,Princenhage,"6,300","6,400","6,500","6,600","6,800","6,800","6,800","6,900"
Breda west,Westerpark,"2,500","2,600","2,600","2,700","2,700","2,700","2,700","2,700"
Breda west,Heilaar,200,300,300,300,300,300,400,400
Breda west,Hazeldonk,0,0,0,0,0,0,0,0
Breda west,Steenakker,200,200,200,200,400,400,400,400
Breda west,Effen-Rith,600,700,600,600,600,700,700,700
Breda west,Liesbos,500,500,500,500,500,500,500,600
Breda noord-west,Gageldonk,"3,800","3,800","3,800","3,800","3,800","3,700","3,800","3,700"
Breda noord-west,Kievitsloop,"3,400","3,400","3,400","3,400","3,400","3,400","3,400","3,300"
Breda noord-west,Kesteren,"2,900","3,000","2,900","3,000","3,000","3,000","3,000","3,000"
Breda noord-west,Muizenberg,"2,400","2,400","2,400","2,400","2,400","2,400","2,400","2,300"
Breda noord-west,Heksenwiel,"3,700","3,800","3,800","3,700","3,700","3,700","3,700","3,700"
Breda noord-west,Overkroeten,"2,600","2,600","2,700","2,700","2,600","2,600","2,600","2,500"
Breda noord-west,Kroeten,"1,700","1,700","1,700","1,700","1,800","1,800","1,800","1,800"
Breda noord-west,Emer,100,100,100,100,100,100,100,100
Breda noord-west,Hagebeemd,200,200,200,200,200,200,200,200
Bavel,Bavel,"4,000","4,100","4,200","4,200","4,400","4,400","4,300","4,300"
Bavel,Nieuw Wolfslaar,"1,505","1,600","1,700","1,700","1,700","1,800","1,800","1,800"
Bavel,Buitengebied Bavel,395,400,400,400,400,400,400,400
Uvelhout,Ulvenhout,"3,400","3,400","3,500","3,500","3,600","3,700","3,700","3,800"
Uvelhout,Buitengebied Ulvenhout,200,200,200,200,200,200,200,200
Prinsenbeek,Prinsenbeek,"8,200","8,400","8,500","8,600","8,700","8,800","8,900","9,100"
Prinsenbeek,Buitengebied Prinsenbeek,700,700,700,700,700,700,700,700
Tetrigen,Teteringen,"5,285","5,485","5,585","5,685","5,785","6,000","6,200","6,300"
Tetrigen,Vuchtpolder,100,100,100,100,100,100,100,100
Tetrigen,Buitengebied Teteringen,100,100,100,100,100,100,100,100
